club_name,club_logo,fm_name
Manchester City,https://tmssl.akamaized.net/images/wappen/small/281.png?lm=1467356331,Man City
Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/small/148.png?lm=1544345801,Tottenham
Liverpool FC,https://tmssl.akamaized.net/images/wappen/small/31.png?lm=1456567819,Liverpool
Manchester United,https://tmssl.akamaized.net/images/wappen/small/985.png?lm=1457975903,Man Utd
Aston Villa,https://tmssl.akamaized.net/images/wappen/small/405.png?lm=1469443765,Aston Villa
Arsenal FC,https://tmssl.akamaized.net/images/wappen/small/11.png?lm=1489787850,Arsenal
Leicester City,https://tmssl.akamaized.net/images/wappen/small/1003.png?lm=1472229265,Leicester
Wolverhampton Wanderers,https://tmssl.akamaized.net/images/wappen/small/543.png?lm=1467496784,Wolves
Everton FC,https://tmssl.akamaized.net/images/wappen/small/29.png?lm=1445949846,Everton
Leeds United,https://tmssl.akamaized.net/images/wappen/small/399.png?lm=1645652224,Leeds
Southampton FC,https://tmssl.akamaized.net/images/wappen/small/180.png?lm=1444560086,Southampton
Crystal Palace,https://tmssl.akamaized.net/images/wappen/small/873.png?lm=1457723287,Crystal Palace
Newcastle United,https://tmssl.akamaized.net/images/wappen/small/762.png?lm=1472921161,Newcastle
West Ham United,https://tmssl.akamaized.net/images/wappen/small/379.png?lm=1464675260,West Ham
Brighton & Hove Albion,https://tmssl.akamaized.net/images/wappen/small/1237.png?lm=1492718902,Brighton
West Bromwich Albion,https://tmssl.akamaized.net/images/wappen/small/984.png?lm=1457991758,West Brom
Norwich City,https://tmssl.akamaized.net/images/wappen/small/1123.png?lm=1655469640,Norwich
Sheffield United,https://tmssl.akamaized.net/images/wappen/small/350.png?lm=1409254138,Sheff Utd
Burnley FC,https://tmssl.akamaized.net/images/wappen/small/1132.png?lm=1686818840,Burnley
Fulham FC,https://tmssl.akamaized.net/images/wappen/small/931.png?lm=1556831687,Fulham
Celtic FC,https://tmssl.akamaized.net/images/wappen/small/371.png?lm=1403615766,Celtic
AFC Bournemouth,https://tmssl.akamaized.net/images/wappen/small/989.png?lm=1457991811,Bournemouth
Besiktas JK,https://tmssl.akamaized.net/images/wappen/small/114.png?lm=1502974502,Beşiktaş
CSKA Moscow,https://tmssl.akamaized.net/images/wappen/small/2410.png?lm=1409222667,CSKA Moscow
Watford FC,https://tmssl.akamaized.net/images/wappen/small/1010.png?lm=1468103673,Watford
Cardiff City,https://tmssl.akamaized.net/images/wappen/small/603.png?lm=1478337063,Cardiff
Blackburn Rovers,https://tmssl.akamaized.net/images/wappen/small/164.png?lm=1495228542,Blackburn
Rangers FC,https://tmssl.akamaized.net/images/wappen/small/124.png?lm=1657628093,Rangers
Trabzonspor,https://tmssl.akamaized.net/images/wappen/small/449.png?lm=1665404571,Trabzonspor
Shakhtar Donetsk,https://tmssl.akamaized.net/images/wappen/small/660.png?lm=1396275305,Shakhtar
Basaksehir FK,https://tmssl.akamaized.net/images/wappen/small/6890.png?lm=1521449959,Başakşehir FK
Galatasaray,https://tmssl.akamaized.net/images/wappen/small/141.png?lm=1406739071,Galatasaray
Fenerbahce,https://tmssl.akamaized.net/images/wappen/small/36.png?lm=1406739123,Fenerbahçe
Zenit St. Petersburg,https://tmssl.akamaized.net/images/wappen/small/964.png?lm=1687671770,Zenit
Spartak Moscow,https://tmssl.akamaized.net/images/wappen/small/232.png?lm=1645543288,Spartak Moscow
Dynamo Kyiv,https://tmssl.akamaized.net/images/wappen/small/338.png?lm=1442954715,Dynamo Kyiv
Brentford FC,https://tmssl.akamaized.net/images/wappen/small/1148.png?lm=1625150543,Brentford
Nottingham Forest,https://tmssl.akamaized.net/images/wappen/small/703.png?lm=1598890289,Nottm Forest
Swansea City,https://tmssl.akamaized.net/images/wappen/small/2288.png?lm=1658400285,Swansea
Fatih Karagümrük,https://tmssl.akamaized.net/images/wappen/small/6646.png?lm=1441625196,Fatih Karagümrük
Alanyaspor,https://tmssl.akamaized.net/images/wappen/small/11282.png?lm=1489273987,Alanyaspor
Bristol City,https://tmssl.akamaized.net/images/wappen/small/698.png?lm=1571314125,Bristol City
Middlesbrough FC,https://tmssl.akamaized.net/images/wappen/small/641.png?lm=1697546042,Middlesbrough
Stoke City,https://tmssl.akamaized.net/images/wappen/small/512.png?lm=1472243727,Stoke
FK Krasnodar,https://tmssl.akamaized.net/images/wappen/small/16704.png?lm=1499524238,Krasnodar
Yeni Malatyaspor,https://tmssl.akamaized.net/images/wappen/small/19789.png?lm=1441755473,Yeni Malatyaspor
GNK Dinamo Zagreb,https://tmssl.akamaized.net/images/wappen/small/419.png?lm=1571921138,Dinamo
Hatayspor,https://tmssl.akamaized.net/images/wappen/small/7775.png?lm=1441723606,Hatayspor
None,None,FC København
Queens Park Rangers,https://tmssl.akamaized.net/images/wappen/small/1039.png?lm=1464680692,QPR
Birmingham City,https://tmssl.akamaized.net/images/wappen/small/337.png?lm=1672321276,Birmingham
FK Partizan Belgrade,https://tmssl.akamaized.net/images/wappen/small/669.png?lm=1541834922,Partizan
PAOK Thessaloniki,https://tmssl.akamaized.net/images/wappen/small/1091.png?lm=1562577576,PAOK
Olympiacos Piraeus,https://tmssl.akamaized.net/images/wappen/small/683.png?lm=1447787802,Olympiakos
Lokomotiv Moscow,https://tmssl.akamaized.net/images/wappen/small/932.png?lm=1486195738,Lokomotiv Moscow
Reading FC,https://tmssl.akamaized.net/images/wappen/small/1032.png?lm=1457723329,Reading
Denizlispor,https://tmssl.akamaized.net/images/wappen/small/833.png?lm=1415444729,Denizlispor
Aalborg BK,https://tmssl.akamaized.net/images/wappen/small/1053.png?lm=1518117565,AaB
Millwall FC,https://tmssl.akamaized.net/images/wappen/small/1028.png?lm=1564722431,Millwall
Konyaspor,https://tmssl.akamaized.net/images/wappen/small/2293.png?lm=1519828204,Konyaspor
SK Slavia Prague,https://tmssl.akamaized.net/images/wappen/small/62.png?lm=1659955223,Slavia Prague
Coventry City,https://tmssl.akamaized.net/images/wappen/small/990.png?lm=1684518179,Coventry
HNK Hajduk Split,https://tmssl.akamaized.net/images/wappen/small/447.png?lm=1673717761,Hajduk
Aarhus GF,https://tmssl.akamaized.net/images/wappen/small/678.png?lm=1518117578,AGF
Preston North End,https://tmssl.akamaized.net/images/wappen/small/466.png?lm=1414769167,Preston
