club,shooting,dribbling_control,passing_vision,tackling_interception,aerial_defense,speed_agility,strength_stamina,decision_making,work_ethic_effort,leadership,teamwork,goalkeeping_abilities,behavioral_attributes,player_traits,club_rating
Man City,10.0625,13.875,12.666666666666666,11.5625,8.25,15.083333333333334,13.666666666666666,12.125,13.916666666666666,5.875,14.25,2.4642857142857144,7.5,1.5,2013.0
Tottenham,9.6875,12.6875,12.041666666666666,13.5625,8.25,13.75,14.083333333333334,13.25,14.833333333333334,6.0,14.5,2.2857142857142856,7.625,2.0,1837.0
Liverpool,9.625,13.625,14.125,13.5625,7.0,13.833333333333334,13.916666666666666,13.875,16.083333333333332,7.75,15.75,2.0357142857142856,8.375,1.5,2042.0
Man Utd,8.1875,12.6875,11.333333333333334,12.9375,8.0,15.083333333333334,13.833333333333334,12.375,15.25,5.75,14.75,2.25,8.5,2.25,1717.0
Aston Villa,8.1875,12.125,11.708333333333334,12.0625,8.5,13.166666666666666,12.916666666666666,12.5,12.833333333333334,5.5,13.75,2.4285714285714284,7.75,2.0,1652.0
Arsenal,8.3125,12.375,11.041666666666666,11.3125,6.333333333333333,14.833333333333334,11.916666666666666,11.625,13.75,5.625,14.5,2.0357142857142856,7.0,1.75,1793.0
Leicester,10.0,12.6875,11.708333333333334,12.4375,6.666666666666667,13.666666666666666,12.333333333333334,12.125,14.416666666666666,5.75,15.0,2.5,6.875,2.0,1703.0
Wolves,7.9375,12.8125,10.791666666666666,12.75,7.25,14.25,12.083333333333334,12.375,12.583333333333334,4.375,12.5,2.0,7.125,2.0,1605.0
Everton,9.6875,12.3125,11.791666666666666,12.125,7.5,13.0,14.0,13.125,14.5,7.0,14.0,2.0714285714285716,8.0,2.25,1587.0
Leeds,9.25,11.8125,9.541666666666666,10.375,6.0,12.916666666666666,11.75,9.875,14.0,5.75,12.75,1.8928571428571428,6.125,2.5,1596.0
Southampton,9.0,12.4375,11.0,10.9375,6.75,13.25,12.5,11.875,12.166666666666666,6.125,12.75,2.2142857142857144,6.25,2.25,1545.0
Crystal Palace,8.5,11.9375,11.208333333333334,11.5625,7.083333333333333,14.75,12.5,11.625,11.166666666666666,4.75,12.0,1.8214285714285714,6.375,1.75,1685.0
