name,club,nat,position,dob,age,height,weight,wage,last trans. fee,value,agg,jum,pun,vis,l th,lon,otb,tck,tec,tea,cmp,fre,ref,pos,pen,pas,fla,ant,cro,mar,ldr,cor,cnt,det,dec,hea,fir,com,acc,pac,aer,str,thr,han,ecc,dri,bal,kic,sta,agi,wor,bra,cmd,fin,1v1,tro,centerback,fullback,goalkeeper,midfielder,striker,winger,division_rating,nat_rating,club_rating,either_left,either_right,left,right,current_age,kor_names
Son Heung-Min,Tottenham,KOR," M/AM (RL), ST (C)                   ",1992-07-08,28.0,183.0,77.0,450000.0,24000000.0,77000000.0,8.0,10.0,2.0,12.0,6.0,16.0,18.0,6.0,17.0,15.0,17.0,10.0,2.0,7.0,9.0,12.0,13.0,16.0,13.0,5.0,13.0,13.0,11.0,13.0,13.0,10.0,13.0,3.0,16.0,15.0,3.0,10.0,1.0,3.0,2.0,15.0,12.0,2.0,16.0,15.0,17.0,6.0,2.0,18.0,2.0,1.0,0,0,0,0,0,1,93.8,1540.35,1837.0,1,0,0,0,31,아들 Heung-Min
Hwang In-Beom,Rubin,KOR, M (C)                               ,1996-09-20,23.0,177.0,70.0,64500.0,2500000.0,2000000.0,11.0,8.0,3.0,15.0,3.0,8.0,14.0,8.0,16.0,14.0,13.0,9.0,3.0,12.0,11.0,14.0,11.0,11.0,11.0,12.0,11.0,11.0,14.0,15.0,16.0,10.0,14.0,2.0,12.0,12.0,3.0,9.0,1.0,2.0,2.0,14.0,9.0,4.0,12.0,13.0,14.0,8.0,2.0,10.0,2.0,1.0,0,0,0,1,0,0,79.8,1540.35,1471.0,0,0,0,1,27,황은 인간
Kim Hyun-Woo,Slaven Belupo,KOR," D (C), DM                           ",1999-03-07,21.0,186.0,80.0,1800.0,0.0,87000.0,11.0,13.0,2.0,10.0,5.0,7.0,10.0,12.0,10.0,14.0,10.0,3.0,1.0,13.0,6.0,10.0,7.0,13.0,6.0,11.0,11.0,3.0,10.0,12.0,13.0,11.0,11.0,1.0,12.0,11.0,2.0,10.0,3.0,1.0,2.0,8.0,10.0,1.0,14.0,12.0,13.0,12.0,1.0,7.0,2.0,1.0,1,0,0,0,0,0,40.8,1540.35,1314.0,0,0,0,1,24,김현우
Kim Do-Hyun,Aluminij,KOR, M (C)                               ,1994-04-09,26.0,181.0,77.0,900.0,0.0,66000.0,7.0,12.0,4.0,10.0,4.0,9.0,11.0,12.0,11.0,10.0,13.0,8.0,2.0,12.0,6.0,12.0,10.0,10.0,9.0,12.0,14.0,7.0,12.0,14.0,12.0,10.0,15.0,1.0,11.0,10.0,1.0,11.0,1.0,2.0,1.0,7.0,10.0,3.0,11.0,9.0,10.0,7.0,2.0,9.0,2.0,3.0,0,0,0,1,0,0,65.0,1540.35,1297.0,0,0,0,1,29,김 도현
Lee Sanghyeok,Pardubice,KOR, M (L)                               ,2000-01-19,20.0,172.0,63.0,1000.0,0.0,59000.0,6.0,5.0,3.0,12.0,2.0,8.0,9.0,5.0,10.0,10.0,5.0,6.0,2.0,11.0,8.0,9.0,5.0,7.0,9.0,4.0,6.0,7.0,7.0,13.0,9.0,5.0,9.0,1.0,16.0,15.0,3.0,6.0,2.0,3.0,2.0,11.0,10.0,1.0,11.0,14.0,15.0,6.0,3.0,7.0,1.0,2.0,0,0,0,0,0,1,78.4,1540.35,1156.0,0,0,1,0,23,리 상 게이오크
Kim Kyu-Hyung,Slaven Belupo,KOR, AM (RC)                             ,1999-03-29,21.0,172.0,68.0,1200.0,0.0,47500.0,7.0,5.0,1.0,12.0,5.0,8.0,11.0,4.0,12.0,11.0,11.0,9.0,2.0,5.0,9.0,11.0,12.0,10.0,10.0,3.0,5.0,9.0,7.0,10.0,8.0,4.0,13.0,3.0,13.0,13.0,2.0,7.0,3.0,3.0,3.0,14.0,12.0,1.0,12.0,15.0,13.0,8.0,1.0,8.0,2.0,2.0,0,0,0,1,0,0,40.8,1540.35,1314.0,0,0,0,1,24,킴 쿄
Yoo Kang-Hyun,Chrudim,KOR, ST (C)                              ,1996-04-27,24.0,186.0,80.0,1100.0,0.0,46500.0,10.0,11.0,3.0,7.0,3.0,6.0,12.0,2.0,10.0,6.0,9.0,6.0,1.0,6.0,3.0,6.0,10.0,10.0,5.0,6.0,10.0,6.0,6.0,5.0,7.0,11.0,12.0,1.0,13.0,13.0,1.0,10.0,2.0,1.0,2.0,8.0,3.0,3.0,12.0,12.0,8.0,2.0,3.0,13.0,2.0,3.0,0,0,0,0,1,0,63.2,1540.35,1156.0,0,0,0,1,27,유 칸현
Kim Seung-bin,Dukla Prague,KOR, AM (C)                              ,2000-12-28,19.0,189.0,78.0,1100.0,0.0,43000.0,5.0,13.0,2.0,9.0,1.0,7.0,10.0,2.0,11.0,7.0,8.0,6.0,2.0,5.0,6.0,11.0,11.0,4.0,6.0,6.0,11.0,6.0,7.0,11.0,12.0,5.0,9.0,2.0,13.0,13.0,3.0,5.0,1.0,1.0,1.0,10.0,7.0,2.0,7.0,13.0,8.0,6.0,1.0,9.0,1.0,1.0,0,0,0,1,0,0,63.2,1540.35,1156.0,0,0,0,1,22,김씨 빈
Kim Yi-Seok,Slovan Liberec,KOR, DM                                  ,1998-06-19,22.0,194.0,84.0,975.0,0.0,41000.0,6.0,16.0,2.0,7.0,1.0,7.0,6.0,14.0,7.0,8.0,7.0,6.0,3.0,4.0,1.0,8.0,5.0,12.0,4.0,10.0,10.0,6.0,4.0,8.0,14.0,6.0,11.0,1.0,13.0,9.0,1.0,8.0,4.0,2.0,1.0,3.0,2.0,1.0,9.0,10.0,13.0,4.0,1.0,5.0,1.0,3.0,0,0,0,1,0,0,40.8,1540.35,1423.0,0,0,0,1,25,김 Yi-Seok
Kim Chan-Woo,Bravo,KOR, AM (L)                              ,1999-06-11,21.0,174.0,66.0,475.0,0.0,36000.0,13.0,8.0,3.0,10.0,8.0,8.0,12.0,9.0,15.0,9.0,8.0,8.0,3.0,8.0,5.0,10.0,13.0,9.0,11.0,7.0,9.0,8.0,7.0,7.0,15.0,7.0,13.0,2.0,10.0,12.0,2.0,5.0,3.0,3.0,1.0,10.0,4.0,2.0,9.0,10.0,10.0,9.0,3.0,9.0,1.0,1.0,0,0,0,0,0,1,65.0,1540.35,1389.0,0,0,1,0,24,김 찬우
