club,shooting,dribbling_control,passing_vision,tackling_interception,aerial_defense,speed_agility,strength_stamina,decision_making,work_ethic_effort,leadership,teamwork,goalkeeping_abilities,behavioral_attributes,player_traits,club_rating
Man City,12.950000000000001,15.5,13.033333333333333,11.05,6.933333333333333,14.733333333333334,13.733333333333334,15.2,14.266666666666666,6.2,15.2,2.1142857142857143,6.699999999999999,2.6,2013.0
Tottenham,11.95,14.799999999999999,12.0,12.2,7.466666666666668,13.066666666666668,14.266666666666666,14.100000000000001,14.799999999999999,5.8,15.6,2.0000000000000004,7.8,2.0,1837.0
Liverpool,10.55,15.25,12.433333333333335,13.6,7.333333333333333,14.266666666666666,14.6,14.8,14.800000000000002,7.0,15.4,2.1142857142857143,7.8,2.0,2042.0
Man Utd,12.5,14.350000000000001,12.133333333333333,11.399999999999999,8.533333333333333,12.666666666666666,15.066666666666668,13.7,14.333333333333334,7.300000000000001,15.6,2.1142857142857143,8.1,2.2,1717.0
Aston Villa,11.55,13.850000000000001,11.799999999999999,11.85,6.666666666666667,13.666666666666666,14.066666666666668,12.8,14.266666666666666,6.1,14.2,2.257142857142857,7.9,2.0,1652.0
Arsenal,11.55,13.8,11.833333333333334,11.6,8.0,13.333333333333334,13.6,13.3,14.266666666666666,6.0,16.2,2.142857142857143,7.0,2.4,1793.0
Leicester,11.200000000000001,13.95,11.966666666666667,12.8,6.533333333333334,12.6,12.866666666666665,14.600000000000001,13.733333333333334,6.0,14.2,2.0,6.8,3.2,1703.0
Wolves,11.100000000000001,14.850000000000001,12.5,10.75,5.466666666666666,13.333333333333334,12.133333333333333,13.0,13.466666666666667,6.4,13.6,1.9714285714285718,7.5,1.6,1605.0
Everton,11.35,15.049999999999999,11.833333333333334,10.85,7.066666666666666,13.333333333333334,13.466666666666669,13.899999999999999,13.799999999999999,6.5,15.0,2.0571428571428574,7.3,1.4,1587.0
Leeds,10.7,12.8,11.500000000000002,11.3,5.533333333333332,12.133333333333333,12.799999999999999,14.0,14.4,6.3,15.2,1.885714285714286,7.1000000000000005,2.0,1596.0
Southampton,9.0,11.4,10.800000000000002,12.399999999999999,7.0,11.6,13.866666666666667,12.8,13.4,6.5,14.2,2.2571428571428567,7.2,2.0,1545.0
Crystal Palace,11.100000000000001,11.200000000000001,10.5,12.05,7.2,11.866666666666667,13.6,12.6,13.466666666666667,6.5,14.2,1.9428571428571428,6.7,2.2,1685.0
Newcastle,10.55,12.6,10.966666666666667,11.5,7.333333333333333,12.333333333333334,12.799999999999999,12.7,13.533333333333331,6.1,14.2,2.085714285714286,7.199999999999999,2.0,1709.0
West Ham,11.55,13.600000000000001,11.0,10.75,7.2,12.666666666666666,12.866666666666667,13.1,13.266666666666666,7.1,14.2,1.9714285714285715,7.6000000000000005,2.0,1686.0
Brighton,10.45,14.3,12.0,11.5,6.466666666666668,12.333333333333334,12.800000000000002,14.2,13.666666666666666,6.5,14.4,2.0571428571428574,6.6,2.0,1685.0
West Brom,8.75,11.700000000000001,9.166666666666666,9.05,6.8,11.733333333333334,11.200000000000001,11.100000000000001,10.866666666666667,5.9,10.0,1.7714285714285718,6.7,1.6,1478.0
