name,club,profile_image,year,market_value
Arne Sabbe,SK Oostnieuwkerke,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25,-
Cedric Brosens,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,30,-
Cédric Mbenza,FC Stade-Payerne,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Mohamed Erroutbi,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Giacomo Mancini,San Marzano Calcio,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,€25k
Alessandro Marcucci,US Poggibonsi,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,€75k
Rudi Ghersetti,ASD Sistiana Sesljan,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Alberto Centis,Arzignano Valchiampo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,€75k
Cosimo Spezzano,Ravenna FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,€10k
Gioele Duca,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Ivan Torri,ASD Follo San Martino,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Filippo Favero,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Mattia Bonini,USD Real Forte Querceta,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Giacomo Sauro,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Antonio Nisticò,Nuova Igea Virtus,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,80,-
Daniel Hysaj,Taranto FC 1927,https://img.a.transfermarkt.technology/portrait/small/819239-1695666075.jpg?lm=1,19,€100k
Christian Macchioni,Lentigione Calcio,https://img.a.transfermarkt.technology/portrait/small/691823-1697653578.jpg?lm=1,20,€50k
Leonardo Sabatini,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Sferico Sports Management,None,None,None,None
Alessandro Strozzi,ASC Arcetana,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Luca Napolitano,FC Kalchreuth,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Yuri Giugno,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,€25k
Antón Guisande,UD Ourense,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Marcos Moser,PS Kalamata,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25,€150k
Gianluca Parpinel,GS Rive d'Arcano Flaibano,https://img.a.transfermarkt.technology/portrait/small/537507-1650370355.png?lm=1,22,-
Silvan Eggmann,Without Club,https://img.a.transfermarkt.technology/portrait/small/117600-1452250737.jpg?lm=1,33,-
Antonio López,---,https://img.a.transfermarkt.technology/portrait/small/s_7723_237_2012_10_24_1.jpg?lm=1,42,-
Frank Amoabeng,Neuchâtel Xamax FCS,https://img.a.transfermarkt.technology/portrait/small/490801-1665739709.png?lm=1,22,€50k
Óscar Rodríguez,Getafe CF,https://img.a.transfermarkt.technology/portrait/small/284884-1697221442.jpg?lm=1,25,€5.00m
Manuel Carlos Quesada,Crevillente Deportivo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,64,-
Eneko Bóveda,---,https://img.a.transfermarkt.technology/portrait/small/89313-1447151441.jpg?lm=1,34,-
Dieguito,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,64,-
Alberto Negral,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,42,-
Kaizen Sport Management,None,None,None,None
Raphael Mollet,FC Oetwil-Geroldswil,https://img.a.transfermarkt.technology/portrait/small/s_38427_1277_2013_09_01_1.jpg?lm=1,35,-
Jorge Herrero,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,40,-
Matteo Dionisi,Cjarlins Muzane,https://img.a.transfermarkt.technology/portrait/small/282925-1694104208.jpg?lm=1,38,€25k
Massimo Loviso,Monturanese Calcio,https://img.a.transfermarkt.technology/portrait/small/16869-1552475419.jpg?lm=1,39,-
Carlos Biasón,SS Nola 1925,https://img.a.transfermarkt.technology/portrait/small/397130-1633087754.jpeg?lm=1,38,-
Dani Alonso,La Bañeza FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,38,-
Pablo Moraga,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,40,-
Borja Cantarutti,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,40,-
Javier Henares,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,38,-
Robin van Persie,1.FC Union Berlin,https://img.a.transfermarkt.technology/portrait/small/4380-1516382956.jpg?lm=1,40,-
Hugo Salamanca,AD Villaviciosa de Odón,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,-
Daniele De Chirico,ASD Atletic Cdr Mutina,https://img.a.transfermarkt.technology/portrait/small/572655-1601565874.jpeg?lm=1,22,-
None,None,None,None,None
Lorenzo Gori,AC Prato,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,€10k
Mariano Felline,FC Pomarico,https://img.a.transfermarkt.technology/portrait/small/1034057-1665702786.jpg?lm=1,19,-
