name_x,club_x,profile_image,year,market_value,name_y,club_y,nat,position,dob,age,height,weight,wage,last trans. fee,value,agg,jum,pun,vis,l th,lon,otb,tck,tec,tea,cmp,fre,ref,pos,pen,pas,fla,ant,cro,mar,ldr,cor,cnt,det,dec,hea,fir,com,acc,pac,aer,str,thr,han,ecc,dri,bal,kic,sta,agi,wor,bra,cmd,fin,1v1,tro,centerback,fullback,goalkeeper,midfielder,striker,winger,division_rating,nat_rating,club_rating,either_left,either_right,left,right,RUS_names
,,,,,Georgy Djikia,Spartak Moscow,RUS, D (C)                               , 21/11/1993 (26 years old) ,26.0,188.0,84.0,142000.0,1800000.0,4500000.0,14.0,14.0,1.0,6.0,12.0,13.0,10.0,16.0,11.0,14.0,14.0,10.0,2.0,10.0,8.0,12.0,5.0,11.0,12.0,12.0,16.0,9.0,11.0,16.0,11.0,15.0,12.0,1.0,13.0,14.0,1.0,15.0,1.0,2.0,3.0,11.0,13.0,2.0,12.0,14.0,14.0,16.0,1.0,8.0,2.0,2.0,1,0,0,0,0,0,79.8,1497.63,1530.0,0,0,1,0,Georgiy Djikia
Oleg Shatov,,https://img.a.transfermarkt.technology/portrait/small/59187-1600613194.png?lm=1,33,-,Oleg Shatov,Rubin,RUS," M (C), AM (RLC)                     ", 29/7/1990 (29 years old)  ,29.0,173.0,73.0,86500.0,0.0,3500000.0,11.0,8.0,2.0,13.0,11.0,11.0,13.0,10.0,14.0,12.0,11.0,12.0,3.0,10.0,10.0,13.0,14.0,12.0,12.0,8.0,13.0,13.0,12.0,13.0,11.0,9.0,13.0,1.0,13.0,12.0,1.0,8.0,1.0,3.0,1.0,12.0,11.0,2.0,13.0,14.0,12.0,8.0,1.0,10.0,4.0,3.0,0,0,0,1,0,0,79.8,1497.63,1471.0,0,0,0,1,Oleg Shatov
,,,,,Alexandr Yerokhin,Zenit,RUS," M (RC), AM (LC)                     ", 13/10/1989 (30 years old) ,30.0,195.0,79.0,150000.0,0.0,3500000.0,13.0,16.0,2.0,12.0,9.0,12.0,16.0,12.0,12.0,17.0,14.0,9.0,3.0,14.0,10.0,12.0,9.0,15.0,11.0,10.0,11.0,8.0,14.0,12.0,14.0,13.0,12.0,1.0,11.0,13.0,2.0,12.0,3.0,1.0,1.0,10.0,11.0,2.0,13.0,10.0,14.0,13.0,3.0,13.0,1.0,2.0,0,0,0,1,0,0,79.8,1497.63,1685.0,0,0,0,1,Aleksandr Yerokhin
1P Agency,,,,,Dmitry Barinov,Lokomotiv Moscow,RUS," DM, M (C)                           ", 11/9/1996 (23 years old)  ,23.0,179.0,72.0,78000.0,0.0,3400000.0,15.0,9.0,1.0,10.0,8.0,13.0,12.0,14.0,12.0,16.0,13.0,7.0,2.0,14.0,11.0,11.0,12.0,15.0,6.0,14.0,12.0,8.0,15.0,14.0,13.0,13.0,12.0,3.0,12.0,13.0,3.0,10.0,3.0,2.0,3.0,9.0,14.0,2.0,15.0,15.0,15.0,16.0,1.0,10.0,2.0,1.0,0,0,0,1,0,0,79.8,1497.63,1544.0,0,0,0,1,Dmitriy Barinov
,,,,,Alexey Sutormin,Zenit,RUS," WB (R), M (RL), AM (RLC)            ", 10/1/1994 (26 years old)  ,26.0,188.0,79.0,83500.0,600.0,2700000.0,9.0,13.0,3.0,12.0,8.0,12.0,11.0,13.0,11.0,13.0,11.0,11.0,3.0,11.0,13.0,12.0,10.0,11.0,11.0,6.0,6.0,11.0,10.0,14.0,12.0,10.0,11.0,2.0,14.0,14.0,3.0,12.0,1.0,4.0,3.0,9.0,12.0,2.0,13.0,11.0,13.0,9.0,3.0,13.0,1.0,3.0,0,1,0,0,0,0,79.8,1497.63,1685.0,0,0,0,1,Aleksey Sutormin
,,,,,Alexandr Sobolev,Spartak Moscow,RUS, ST (C)                              , 7/3/1997 (23 years old)   ,23.0,195.0,85.0,108000.0,4500000.0,2700000.0,12.0,16.0,2.0,12.0,5.0,12.0,14.0,9.0,15.0,13.0,12.0,8.0,2.0,11.0,12.0,11.0,14.0,12.0,7.0,8.0,12.0,8.0,14.0,13.0,10.0,14.0,12.0,3.0,10.0,12.0,3.0,14.0,2.0,3.0,1.0,12.0,12.0,3.0,13.0,12.0,10.0,13.0,3.0,14.0,3.0,1.0,0,0,0,0,1,0,79.8,1497.63,1530.0,0,0,0,1,Aleksandr Sobolev
,,,,,Alexey Ionov,Krasnodar,RUS," AM (R), ST (C)                      ", 18/2/1989 (31 years old)  ,31.0,177.0,68.0,101000.0,3500000.0,2600000.0,10.0,8.0,1.0,12.0,6.0,11.0,15.0,8.0,12.0,12.0,14.0,11.0,3.0,6.0,14.0,12.0,8.0,12.0,12.0,5.0,9.0,13.0,8.0,13.0,13.0,5.0,12.0,1.0,16.0,14.0,2.0,7.0,1.0,2.0,3.0,9.0,11.0,1.0,13.0,14.0,10.0,10.0,3.0,13.0,2.0,3.0,0,0,0,0,0,1,79.8,1497.63,1406.0,0,0,0,1,Aleksey Ionov
,,,,,Yury Gazinskiy,Krasnodar,RUS," DM, M (C)                           ", 20/7/1989 (31 years old)  ,31.0,184.0,75.0,119000.0,0.0,2500000.0,12.0,12.0,3.0,14.0,13.0,12.0,13.0,13.0,11.0,15.0,13.0,10.0,1.0,15.0,12.0,13.0,13.0,16.0,10.0,10.0,9.0,10.0,16.0,12.0,12.0,10.0,12.0,1.0,12.0,12.0,2.0,10.0,2.0,2.0,2.0,11.0,12.0,2.0,12.0,12.0,13.0,15.0,3.0,10.0,2.0,2.0,0,0,0,1,0,0,79.8,1497.63,1406.0,0,0,0,1,Yuriy Gazinskiy
Alan Dzagoev,,https://img.a.transfermarkt.technology/portrait/small/69683-1662131224.png?lm=1,33,-,Alan Dzagoev,CSKA Moscow,RUS," DM, M/AM (C)                        ", 17/6/1990 (30 years old)  ,30.0,178.0,74.0,183000.0,300000.0,2300000.0,16.0,8.0,1.0,15.0,8.0,12.0,13.0,9.0,14.0,13.0,12.0,11.0,3.0,11.0,13.0,14.0,16.0,14.0,10.0,9.0,12.0,13.0,13.0,19.0,13.0,7.0,15.0,2.0,11.0,10.0,1.0,10.0,1.0,2.0,3.0,10.0,14.0,3.0,11.0,13.0,12.0,17.0,1.0,10.0,1.0,2.0,0,0,0,1,0,0,79.8,1497.63,1572.0,0,0,0,1,Alan Dzagoev
,,,,,Georgy Schennikov,CSKA Moscow,RUS, D/WB (L)                            , 27/4/1991 (29 years old)  ,29.0,178.0,75.0,108000.0,0.0,2200000.0,12.0,9.0,2.0,8.0,10.0,8.0,11.0,12.0,11.0,15.0,12.0,4.0,1.0,12.0,5.0,12.0,9.0,13.0,10.0,13.0,4.0,6.0,14.0,13.0,12.0,9.0,12.0,2.0,15.0,16.0,3.0,10.0,1.0,1.0,1.0,10.0,12.0,3.0,15.0,13.0,14.0,15.0,2.0,11.0,2.0,3.0,0,1,0,0,0,0,79.8,1497.63,1572.0,0,0,1,0,Georgiy Schennikov
