shooting,dribbling_control,passing_vision,tackling_interception,aerial_defense,speed_agility,strength_stamina,decision_making,work_ethic_effort,leadership,teamwork,goalkeeping_abilities,behavioral_attributes,player_traits,club_rating
11.5,14.5,9.5,8.25,7.666666666666667,14.833333333333334,13.833333333333334,13.0,14.333333333333334,4.75,11.0,1.5,8.5,1.0,2013.0
15.125,13.5,12.166666666666666,10.625,9.5,12.333333333333334,14.833333333333334,16.25,15.333333333333334,7.25,15.5,2.357142857142857,6.75,2.0,1837.0
11.75,16.0,12.083333333333334,11.25,8.166666666666666,14.666666666666666,13.833333333333334,14.25,15.0,3.75,14.5,2.4285714285714284,8.25,2.0,2042.0
11.375,11.0,8.083333333333334,8.125,10.333333333333334,11.833333333333334,12.333333333333334,11.75,13.0,4.75,13.0,2.5,7.0,3.0,1717.0
11.25,12.125,10.583333333333334,8.25,9.333333333333334,12.833333333333334,14.166666666666666,12.5,13.5,5.25,14.5,2.142857142857143,7.5,1.5,1652.0
11.625,14.5,9.583333333333334,7.625,8.5,15.0,13.166666666666666,12.75,14.5,5.0,15.0,2.2142857142857144,7.0,2.0,1793.0
11.875,14.125,10.916666666666666,7.75,7.833333333333333,14.5,13.0,12.75,12.5,4.5,13.0,2.142857142857143,5.5,2.0,1703.0
14.75,13.375,10.75,9.75,10.833333333333334,12.833333333333334,13.666666666666666,13.25,15.166666666666666,5.5,14.5,2.0,8.75,2.5,1605.0
8.625,10.375,8.0,6.25,6.0,12.5,9.333333333333334,9.5,8.666666666666666,6.0,9.0,2.142857142857143,5.25,2.0,1587.0
11.875,13.875,10.25,10.25,8.166666666666666,14.666666666666666,13.166666666666666,12.25,14.5,6.0,14.5,2.357142857142857,6.75,1.5,1596.0
12.125,14.375,10.75,10.0,7.5,14.333333333333334,13.0,13.5,14.666666666666666,6.25,14.5,2.2142857142857144,7.5,2.5,1545.0
10.875,12.125,9.666666666666666,8.125,11.0,13.666666666666666,15.5,11.25,11.666666666666666,5.0,11.0,1.9285714285714286,7.25,1.5,1685.0
10.5,12.25,9.416666666666666,8.25,8.5,13.666666666666666,15.166666666666666,13.25,14.5,6.0,13.5,1.7857142857142858,7.5,2.5,1709.0
5.5,10.25,5.416666666666667,5.5,7.5,12.166666666666666,7.5,10.25,9.5,5.75,5.5,2.0714285714285716,4.0,3.0,1686.0
12.875,14.0,11.75,7.75,6.5,14.0,12.333333333333334,12.75,14.166666666666666,6.5,12.0,2.0,8.0,2.0,1685.0
11.0,12.375,9.25,7.125,9.333333333333334,14.0,13.0,11.25,10.666666666666666,3.25,9.5,2.357142857142857,4.5,2.0,1478.0
11.875,11.375,9.833333333333334,8.75,9.0,13.333333333333334,13.166666666666666,12.5,15.0,4.0,15.0,2.0714285714285716,8.5,2.5,1382.0
