club,shooting,dribbling_control,passing_vision,tackling_interception,aerial_defense,speed_agility,strength_stamina,decision_making,work_ethic_effort,leadership,teamwork,goalkeeping_abilities,behavioral_attributes,player_traits,club_rating
Man City,11.9375,15.625,12.083333333333334,8.875,7.333333333333333,16.333333333333332,13.083333333333334,13.375,12.333333333333334,5.125,13.25,2.0357142857142856,6.125,2.75,2013.0
Tottenham,13.125,14.5,12.208333333333334,8.1875,8.333333333333334,14.25,12.333333333333334,12.5,12.25,5.25,12.5,2.0357142857142856,6.125,1.25,1837.0
Liverpool,11.3125,14.3125,11.208333333333334,9.125,7.5,15.333333333333334,12.416666666666666,12.5,12.666666666666666,5.875,14.0,2.142857142857143,6.125,2.5,2042.0
Man Utd,12.25,14.625,8.791666666666666,5.8125,5.916666666666667,16.416666666666668,13.0,12.0,14.416666666666666,4.125,13.5,2.107142857142857,7.375,1.75,1717.0
Aston Villa,12.0625,13.8125,10.75,7.625,7.75,14.333333333333334,11.416666666666666,11.0,12.166666666666666,5.0,9.5,2.107142857142857,6.0,2.0,1652.0
Arsenal,12.1875,14.6875,10.083333333333334,7.375,7.083333333333333,16.25,12.166666666666666,12.375,11.666666666666666,4.5,13.25,2.0,6.25,2.5,1793.0
Leicester,9.125,11.9375,9.041666666666666,6.4375,6.083333333333333,13.333333333333334,10.75,9.5,11.083333333333334,4.625,10.5,2.1785714285714284,4.875,1.75,1703.0
Wolves,7.3125,11.5,7.625,5.8125,6.416666666666667,14.583333333333334,8.583333333333334,9.25,10.5,4.875,6.75,2.107142857142857,5.375,1.5,1605.0
Everton,10.1875,13.5,10.0,7.5,8.333333333333334,15.25,12.333333333333334,10.875,13.166666666666666,4.25,12.5,2.357142857142857,6.5,2.5,1587.0
Leeds,11.125,15.1875,11.0,7.625,5.166666666666667,15.166666666666666,11.583333333333334,11.5,12.833333333333334,4.125,11.25,2.0357142857142856,6.0,1.75,1596.0
